epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,6366.81,1.12785,1.55316,1.47234,0.29159,0.4383,0.29246,0.18286,1.28,1.89868,1.60221,8.5645e-05,8.5645e-05,8.5645e-05
60,6474.36,1.12548,1.51874,1.45548,0.34777,0.41277,0.30861,0.19437,1.33442,1.86706,1.65462,8.53975e-05,8.53975e-05,8.53975e-05
61,6582.31,1.09983,1.47977,1.43507,0.33687,0.37021,0.27951,0.18262,1.30165,1.93623,1.60567,8.515e-05,8.515e-05,8.515e-05
62,6689.63,1.10462,1.47945,1.45998,0.30163,0.3617,0.2616,0.16297,1.29259,1.91216,1.60795,8.49025e-05,8.49025e-05,8.49025e-05
63,6797.06,1.08867,1.48466,1.43766,0.31816,0.40426,0.29399,0.16864,1.30248,1.88238,1.60565,8.4655e-05,8.4655e-05,8.4655e-05
64,6904.86,1.09831,1.48457,1.43326,0.29832,0.39149,0.2573,0.15908,1.30779,1.97009,1.61484,8.44075e-05,8.44075e-05,8.44075e-05
65,7012.37,1.1021,1.46486,1.43159,0.28264,0.42128,0.26543,0.17374,1.28968,1.93404,1.5929,8.416e-05,8.416e-05,8.416e-05
66,7119.67,1.06821,1.41615,1.41673,0.31265,0.38131,0.28391,0.1789,1.29521,1.91062,1.60524,8.39125e-05,8.39125e-05,8.39125e-05
67,7227.36,1.09515,1.4344,1.41919,0.34747,0.3617,0.25847,0.1653,1.28069,1.92668,1.60302,8.3665e-05,8.3665e-05,8.3665e-05
68,7335.06,1.07519,1.42058,1.4204,0.34354,0.37872,0.27623,0.17752,1.27079,1.94816,1.58854,8.34175e-05,8.34175e-05,8.34175e-05
69,7441.92,1.06875,1.40491,1.40015,0.35453,0.35526,0.29282,0.18257,1.29878,1.97708,1.6082,8.317e-05,8.317e-05,8.317e-05
70,7549.43,1.05976,1.38251,1.40908,0.36406,0.33617,0.29556,0.18989,1.28936,1.91317,1.60282,8.29225e-05,8.29225e-05,8.29225e-05
71,7657.17,1.06482,1.39585,1.39219,0.24485,0.38298,0.24832,0.15251,1.32194,2.02957,1.62586,8.2675e-05,8.2675e-05,8.2675e-05
72,7764.84,1.0681,1.39616,1.39208,0.29769,0.38298,0.25579,0.16543,1.2879,2.0253,1.58577,8.24275e-05,8.24275e-05,8.24275e-05
